region	chr	midPos	Nsites
(125,16203)(100096,149106)(100000,150000)	chr1	125000	16080	0.105095
(16204,50026)(150535,199999)(150000,200000)	chr1	175000	33824	0.093391
(50027,93134)(200000,249999)(200000,250000)	chr1	225000	43109	0.065464
(93135,131256)(250000,299523)(250000,300000)	chr1	275000	38123	0.028553
(131257,139331)(301413,348254)(300000,350000)	chr1	325000	8076	0.088269
(139332,162747)(355701,396403)(350000,400000)	chr1	375000	23417	0.069471
(162748,166147)(405164,445669)(400000,450000)	chr1	425000	3401	0.110675
(166148,178847)(451067,499418)(450000,500000)	chr1	475000	12701	0.049201
(178848,210342)(500085,549999)(500000,550000)	chr1	525000	31496	0.077754
(210343,247308)(550000,599999)(550000,600000)	chr1	575000	36967	0.096302
(247309,288202)(600000,649999)(600000,650000)	chr1	625000	40895	0.092931
(288203,326807)(650000,699999)(650000,700000)	chr1	675000	38606	0.068022
(326808,352119)(700000,749923)(700000,750000)	chr1	725000	25313	0.089178
(352120,375827)(750624,799999)(750000,800000)	chr1	775000	23709	0.084258
(375828,390553)(800000,849219)(800000,850000)	chr1	825000	14727	0.049839
(390554,409724)(850202,899977)(850000,900000)	chr1	875000	19172	0.135244
(409725,427781)(900137,949371)(900000,950000)	chr1	925000	18058	0.124810
(427782,433608)(952086,999862)(950000,1000000)	chr1	975000	5828	0.087052
(433609,452495)(1000741,1049999)(1000000,1050000)	chr1	1025000	18888	0.091478
(452496,458520)(1050000,1092180)(1050000,1100000)	chr1	1075000	6026	0.061896
(458521,477289)(1101310,1148231)(1100000,1150000)	chr1	1125000	18770	0.132854
(477290,500564)(1150744,1199999)(1150000,1200000)	chr1	1175000	23276	0.058424
(500565,532036)(1200000,1249905)(1200000,1250000)	chr1	1225000	31473	0.096723
(532037,541260)(1250177,1293091)(1250000,1300000)	chr1	1275000	9225	0.031430
(541261,558449)(1300586,1349460)(1300000,1350000)	chr1	1325000	17190	0.025376
(558450,574827)(1351488,1398576)(1350000,1400000)	chr1	1375000	16379	0.020559
(574828,607098)(1400394,1449999)(1400000,1450000)	chr1	1425000	32272	0.112170
(607099,628715)(1450000,1499999)(1450000,1500000)	chr1	1475000	21618	0.092964
(628716,656686)(1500000,1549999)(1500000,1550000)	chr1	1525000	27972	0.072475
(656687,681293)(1550000,1599999)(1550000,1600000)	chr1	1575000	24608	0.031055
(681294,710861)(1600000,1649999)(1600000,1650000)	chr1	1625000	29569	0.034200
(710862,734304)(1650000,1699999)(1650000,1700000)	chr1	1675000	23444	0.020901
(734305,761677)(1700000,1748992)(1700000,1750000)	chr1	1725000	27374	0.056157
(761678,766038)(1750260,1799007)(1750000,1800000)	chr1	1775000	4362	0.045618
(766039,792457)(1804854,1849999)(1800000,1850000)	chr1	1825000	26420	0.019410
(792458,818681)(1850000,1898847)(1850000,1900000)	chr1	1875000	26225	-0.000487
(818682,842752)(1901906,1949999)(1900000,1950000)	chr1	1925000	24072	0.062171
(842753,881027)(1950000,1999029)(1950000,2000000)	chr1	1975000	38276	0.089362
(881028,910850)(2000758,2049096)(2000000,2050000)	chr1	2025000	29824	0.117782
(910851,922136)(2052206,2096526)(2050000,2100000)	chr1	2075000	11287	0.069422
(922137,940696)(2118651,2149999)(2100000,2150000)	chr1	2125000	18561	0.060092
