region	chr	midPos	Nsites
(3312,8449)(55888,98347)(50000,100000)	chr1	75000	5139	0.051459
(8450,26147)(100095,149140)(100000,150000)	chr1	125000	17699	0.157144
(26148,66794)(150528,199999)(150000,200000)	chr1	175000	40648	0.062609
(66795,112167)(200000,249999)(200000,250000)	chr1	225000	45374	0.112839
(112168,151228)(250000,299523)(250000,300000)	chr1	275000	39062	0.064195
(151229,171146)(300203,348483)(300000,350000)	chr1	325000	19919	0.081030
(171147,199337)(351101,398839)(350000,400000)	chr1	375000	28192	0.069736
(199338,206158)(405164,448511)(400000,450000)	chr1	425000	6822	0.121966
(206159,226340)(451045,499421)(450000,500000)	chr1	475000	20183	0.079840
(226341,263627)(500085,549999)(500000,550000)	chr1	525000	37288	0.113371
(263628,306042)(550000,599999)(550000,600000)	chr1	575000	42416	0.148082
(306043,352250)(600000,649999)(600000,650000)	chr1	625000	46209	0.147493
(352251,394296)(650000,699999)(650000,700000)	chr1	675000	42047	0.135262
(394297,426888)(700000,749999)(700000,750000)	chr1	725000	32593	0.105079
(426889,455973)(750000,799999)(750000,800000)	chr1	775000	29086	0.100168
(455974,480864)(800000,849288)(800000,850000)	chr1	825000	24892	0.095110
(480865,506761)(850139,899998)(850000,900000)	chr1	875000	25898	0.114108
(506762,531829)(900000,949384)(900000,950000)	chr1	925000	25069	0.120159
(531830,543023)(952042,999987)(950000,1000000)	chr1	975000	11195	0.081901
(543024,568802)(1000382,1049999)(1000000,1050000)	chr1	1025000	25780	0.108663
(568803,581101)(1050000,1097942)(1050000,1100000)	chr1	1075000	12300	0.084785
(581102,606578)(1100499,1148222)(1100000,1150000)	chr1	1125000	25478	0.129459
(606579,632747)(1150728,1199999)(1150000,1200000)	chr1	1175000	26170	0.130260
(632748,667407)(1200000,1249905)(1200000,1250000)	chr1	1225000	34661	0.124870
(667408,677703)(1250177,1297848)(1250000,1300000)	chr1	1275000	10297	0.086573
(677704,696514)(1300586,1349460)(1300000,1350000)	chr1	1325000	18812	0.077704
(696515,715627)(1351462,1399999)(1350000,1400000)	chr1	1375000	19114	0.076324
(715628,753270)(1400328,1449999)(1400000,1450000)	chr1	1425000	37644	0.110214
(753271,781717)(1450000,1499999)(1450000,1500000)	chr1	1475000	28448	0.075628
(781718,812581)(1500000,1549999)(1500000,1550000)	chr1	1525000	30865	0.131418
(812582,836284)(1550000,1599984)(1550000,1600000)	chr1	1575000	23704	0.054740
(836285,862071)(1600366,1649999)(1600000,1650000)	chr1	1625000	25788	0.059116
(862072,885660)(1650001,1699999)(1650000,1700000)	chr1	1675000	23590	0.070889
(885661,912329)(1700000,1748992)(1700000,1750000)	chr1	1725000	26670	0.081861
(912330,915966)(1750258,1799007)(1750000,1800000)	chr1	1775000	3638	0.090523
(915967,941990)(1804901,1849999)(1800000,1850000)	chr1	1825000	26025	0.054120
(941991,970015)(1850000,1899506)(1850000,1900000)	chr1	1875000	28026	0.026908
(970016,1001350)(1900011,1949999)(1900000,1950000)	chr1	1925000	31336	0.146763
(1001351,1048110)(1950000,1999999)(1950000,2000000)	chr1	1975000	46761	0.134728
(1048111,1087766)(2000000,2049923)(2000000,2050000)	chr1	2025000	39657	0.127160
(1087767,1112310)(2050472,2098593)(2050000,2100000)	chr1	2075000	24545	0.117522
(1112311,1136873)(2100413,2149999)(2100000,2150000)	chr1	2125000	24564	0.113316
(1136874,1184139)(2150000,2199999)(2150000,2200000)	chr1	2175000	47267	0.129577
(1184140,1217676)(2200000,2249999)(2200000,2250000)	chr1	2225000	33538	0.118460
(1217677,1266032)(2250000,2299655)(2250000,2300000)	chr1	2275000	48357	0.141297
(1266033,1314722)(2300462,2349999)(2300000,2350000)	chr1	2325000	48691	0.131787
(1314723,1363786)(2350000,2399999)(2350000,2400000)	chr1	2375000	49065	0.188217
