region	chr	midPos	Nsites
(10487,27385)(152990,199999)(150000,200000)	chr1	175000	16900	0.108258
(27386,57229)(200000,249999)(200000,250000)	chr1	225000	29845	0.054522
(57230,86719)(250000,296818)(250000,300000)	chr1	275000	29491	0.017967
(86720,88253)(304278,342900)(300000,350000)	chr1	325000	1535	0.017785
(88254,90257)(357969,395840)(350000,400000)	chr1	375000	2005	-0.000009
(90258,90543)(401205,422379)(400000,450000)	chr1	425000	287	0.021761
(90544,92459)(452241,499224)(450000,500000)	chr1	475000	1917	0.032723
(92460,99242)(500330,549026)(500000,550000)	chr1	525000	6784	0.051154
(99243,114733)(551907,599999)(550000,600000)	chr1	575000	15492	0.084175
(114734,130991)(600000,649845)(600000,650000)	chr1	625000	16259	0.072837
(130992,145729)(651369,699999)(650000,700000)	chr1	675000	14739	0.077850
(145730,152286)(700000,743904)(700000,750000)	chr1	725000	6558	0.033406
(152287,164798)(750640,799999)(750000,800000)	chr1	775000	12513	0.030819
(164799,172507)(800000,848657)(800000,850000)	chr1	825000	7710	0.035898
(172508,176033)(850385,899445)(850000,900000)	chr1	875000	3527	0.128585
(176034,178356)(900555,939049)(900000,950000)	chr1	925000	2324	0.037499
(178357,178797)(957341,997193)(950000,1000000)	chr1	975000	442	0.012167
(178798,181940)(1001662,1049197)(1000000,1050000)	chr1	1025000	3144	0.025149
(181941,182909)(1050194,1081725)(1050000,1100000)	chr1	1075000	970	0.017322
(182910,184654)(1103527,1148065)(1100000,1150000)	chr1	1125000	1746	0.051638
(184655,189856)(1151075,1199762)(1150000,1200000)	chr1	1175000	5203	0.048431
(189857,208600)(1201090,1249823)(1200000,1250000)	chr1	1225000	18745	0.009308
(208601,214639)(1251798,1291752)(1250000,1300000)	chr1	1275000	6040	0.011541
(214640,225291)(1300461,1348788)(1300000,1350000)	chr1	1325000	10653	-0.003244
(225292,232965)(1351598,1398252)(1350000,1400000)	chr1	1375000	7675	0.005782
(232966,239491)(1400631,1449826)(1400000,1450000)	chr1	1425000	6527	0.045969
(239492,241004)(1450213,1499103)(1450000,1500000)	chr1	1475000	1514	0.087828
(241005,248812)(1501366,1543960)(1500000,1550000)	chr1	1525000	7809	0.039377
(248813,260864)(1550219,1599034)(1550000,1600000)	chr1	1575000	12053	0.007339
(260865,278320)(1602862,1649906)(1600000,1650000)	chr1	1625000	17457	0.021495
(278321,293233)(1650210,1699999)(1650000,1700000)	chr1	1675000	14914	0.009803
(293234,313641)(1700000,1748873)(1700000,1750000)	chr1	1725000	20409	0.035799
(313642,316953)(1750338,1798929)(1750000,1800000)	chr1	1775000	3313	0.054560
(316954,341195)(1804979,1849999)(1800000,1850000)	chr1	1825000	24243	0.028022
(341196,365857)(1850000,1886781)(1850000,1900000)	chr1	1875000	24663	0.008712
(365858,375089)(1902381,1949979)(1900000,1950000)	chr1	1925000	9233	0.042423
(375090,393201)(1950009,1998961)(1950000,2000000)	chr1	1975000	18113	0.053094
(393202,400525)(2000989,2048785)(2000000,2050000)	chr1	2025000	7325	0.071132
(400526,401110)(2054603,2082911)(2050000,2100000)	chr1	2075000	586	0.031307
(401111,407402)(2124324,2149910)(2100000,2150000)	chr1	2125000	6293	0.033626
(407403,426635)(2150214,2199999)(2150000,2200000)	chr1	2175000	19234	0.059631
(426636,445428)(2200000,2249999)(2200000,2250000)	chr1	2225000	18794	0.071782
(445429,482535)(2250000,2299464)(2250000,2300000)	chr1	2275000	37108	0.070299
(482536,521668)(2300719,2349999)(2300000,2350000)	chr1	2325000	39134	0.063513
(521669,561184)(2350000,2399999)(2350000,2400000)	chr1	2375000	39517	0.074573
(561185,587761)(2400000,2438833)(2400000,2450000)	chr1	2425000	26578	0.021998
(587762,602757)(2452390,2499997)(2450000,2500000)	chr1	2475000	14997	0.064265
(602758,628294)(2500008,2549999)(2500000,2550000)	chr1	2525000	25538	0.100529
(628295,652481)(2550000,2597554)(2550000,2600000)	chr1	2575000	24188	0.025754
(652482,662506)(2600926,2649999)(2600000,2650000)	chr1	2625000	10026	0.039233
(662507,679512)(2650000,2691555)(2650000,2700000)	chr1	2675000	17007	0.016749
(679513,693149)(2721051,2749999)(2700000,2750000)	chr1	2725000	13638	0.048829
(693150,729257)(2750001,2799991)(2750000,2800000)	chr1	2775000	36109	0.064581
(729258,769411)(2800002,2849999)(2800000,2850000)	chr1	2825000	40155	0.052873
(769412,813461)(2850000,2899999)(2850000,2900000)	chr1	2875000	44051	0.057979
(813462,857948)(2900000,2949999)(2900000,2950000)	chr1	2925000	44488	0.062530
(857949,891050)(2950000,2999768)(2950000,3000000)	chr1	2975000	33103	0.095308
(891051,931440)(3000075,3049999)(3000000,3050000)	chr1	3025000	40391	0.134953
(931441,971893)(3050000,3099999)(3050000,3100000)	chr1	3075000	40454	0.059457
(971894,1012361)(3100000,3149999)(3100000,3150000)	chr1	3125000	40469	0.072499
(1012362,1055287)(3150000,3199998)(3150000,3200000)	chr1	3175000	42927	0.082423
(1055288,1093887)(3200001,3247636)(3200000,3250000)	chr1	3225000	38601	0.077231
(1093888,1134527)(3250051,3299994)(3250000,3300000)	chr1	3275000	40641	0.049380
(1134528,1178560)(3300021,3349998)(3300000,3350000)	chr1	3325000	44034	0.034098
(1178561,1222820)(3350000,3399999)(3350000,3400000)	chr1	3375000	44261	0.074863
(1222821,1267634)(3400000,3449999)(3400000,3450000)	chr1	3425000	44815	0.119320
(1267635,1310203)(3450000,3499999)(3450000,3500000)	chr1	3475000	42570	0.031277
(1310204,1352178)(3500000,3549999)(3500000,3550000)	chr1	3525000	41976	0.040094
(1352179,1396525)(3550000,3599999)(3550000,3600000)	chr1	3575000	44348	0.086321
(1396526,1438452)(3600000,3649999)(3600000,3650000)	chr1	3625000	41928	0.076102
(1438453,1482888)(3650000,3699999)(3650000,3700000)	chr1	3675000	44437	0.048205
(1482889,1526111)(3700000,3749999)(3700000,3750000)	chr1	3725000	43224	0.054241
(1526112,1569562)(3750000,3799999)(3750000,3800000)	chr1	3775000	43452	0.050564
