region	chr	midPos	Nsites
(300,17257)(100000,149106)(100000,150000)	chr1	125000	16959	0.063471
(17258,51258)(150524,199999)(150000,200000)	chr1	175000	34002	0.068928
(51259,94311)(200000,249999)(200000,250000)	chr1	225000	43054	0.066741
(94312,133458)(250000,299738)(250000,300000)	chr1	275000	39148	0.034115
(133459,145542)(301058,348254)(300000,350000)	chr1	325000	12085	0.062923
(145543,170886)(355701,396403)(350000,400000)	chr1	375000	25345	0.040797
(170887,180073)(400908,449697)(400000,450000)	chr1	425000	9188	0.063036
(180074,193110)(451067,499873)(450000,500000)	chr1	475000	13038	0.059950
(193111,224987)(500084,549999)(500000,550000)	chr1	525000	31878	0.059465
(224988,262278)(550000,599999)(550000,600000)	chr1	575000	37292	0.112004
(262279,303376)(600000,649999)(600000,650000)	chr1	625000	41099	0.131204
(303377,342578)(650000,699999)(650000,700000)	chr1	675000	39203	0.087830
(342579,369247)(700000,749923)(700000,750000)	chr1	725000	26670	0.073760
(369248,394080)(750624,799999)(750000,800000)	chr1	775000	24834	0.042641
(394081,410474)(800000,849219)(800000,850000)	chr1	825000	16395	0.096785
(410475,432355)(850202,899977)(850000,900000)	chr1	875000	21882	0.088394
(432356,454215)(900102,949371)(900000,950000)	chr1	925000	21861	0.090151
(454216,462741)(952086,999904)(950000,1000000)	chr1	975000	8527	0.096058
(462742,481410)(1000741,1049999)(1000000,1050000)	chr1	1025000	18670	0.071805
(481411,488893)(1050000,1099579)(1050000,1100000)	chr1	1075000	7484	0.049754
(488894,511280)(1101303,1148220)(1100000,1150000)	chr1	1125000	22388	0.082328
(511281,539283)(1150744,1199999)(1150000,1200000)	chr1	1175000	28004	0.080679
(539284,572843)(1200000,1249921)(1200000,1250000)	chr1	1225000	33561	0.039538
(572844,584081)(1250150,1293112)(1250000,1300000)	chr1	1275000	11239	0.051026
(584082,601771)(1300448,1349460)(1300000,1350000)	chr1	1325000	17691	0.038366
(601772,620381)(1351488,1398576)(1350000,1400000)	chr1	1375000	18611	0.051722
(620382,653080)(1400394,1449999)(1400000,1450000)	chr1	1425000	32700	0.075325
(653081,676399)(1450000,1499999)(1450000,1500000)	chr1	1475000	23320	0.048097
(676400,704105)(1500000,1549999)(1500000,1550000)	chr1	1525000	27707	0.073254
(704106,728202)(1550000,1599984)(1550000,1600000)	chr1	1575000	24098	0.028925
(728203,755880)(1600348,1649999)(1600000,1650000)	chr1	1625000	27679	0.033373
(755881,779801)(1650001,1699999)(1650000,1700000)	chr1	1675000	23922	0.046291
(779802,808794)(1700000,1749290)(1700000,1750000)	chr1	1725000	28994	0.050360
(808795,813431)(1750260,1799018)(1750000,1800000)	chr1	1775000	4638	0.061473
(813432,839752)(1804901,1849999)(1800000,1850000)	chr1	1825000	26322	0.036273
(839753,865877)(1850000,1898847)(1850000,1900000)	chr1	1875000	26126	0.030319
(865878,889967)(1901906,1949999)(1900000,1950000)	chr1	1925000	24091	0.056032
(889968,928583)(1950000,1999029)(1950000,2000000)	chr1	1975000	38617	0.086613
(928584,959306)(2000758,2049096)(2000000,2050000)	chr1	2025000	30724	0.074289
(959307,972600)(2052206,2096526)(2050000,2100000)	chr1	2075000	13295	0.074360
(972601,991282)(2118651,2149999)(2100000,2150000)	chr1	2125000	18683	0.053943
(991283,1034234)(2150000,2199999)(2150000,2200000)	chr1	2175000	42953	0.099862
(1034235,1065254)(2200000,2249999)(2200000,2250000)	chr1	2225000	31021	0.066279
(1065255,1110388)(2250000,2299647)(2250000,2300000)	chr1	2275000	45135	0.069632
(1110389,1158096)(2300418,2349999)(2300000,2350000)	chr1	2325000	47709	0.072501
(1158097,1207000)(2350000,2399999)(2350000,2400000)	chr1	2375000	48905	0.046100
(1207001,1236468)(2400000,2448058)(2400000,2450000)	chr1	2425000	29469	0.050793
(1236469,1274165)(2452390,2499997)(2450000,2500000)	chr1	2475000	37698	0.060505
(1274166,1319810)(2500008,2549999)(2500000,2550000)	chr1	2525000	45646	0.067912
(1319811,1349442)(2550000,2599334)(2550000,2600000)	chr1	2575000	29633	0.033289
(1349443,1370163)(2600356,2649999)(2600000,2650000)	chr1	2625000	20722	0.034818
(1370164,1398877)(2650000,2691828)(2650000,2700000)	chr1	2675000	28715	0.026589
(1398878,1418252)(2701415,2749999)(2700000,2750000)	chr1	2725000	19376	0.027153
(1418253,1466633)(2750000,2799999)(2750000,2800000)	chr1	2775000	48382	0.053685
(1466634,1515860)(2800000,2849999)(2800000,2850000)	chr1	2825000	49228	0.096215
(1515861,1565512)(2850000,2899999)(2850000,2900000)	chr1	2875000	49653	0.109895
(1565513,1615191)(2900000,2949999)(2900000,2950000)	chr1	2925000	49680	0.079314
(1615192,1657732)(2950000,2999999)(2950000,3000000)	chr1	2975000	42542	0.081303
(1657733,1706914)(3000000,3049999)(3000000,3050000)	chr1	3025000	49183	0.057375
(1706915,1756592)(3050000,3099999)(3050000,3100000)	chr1	3075000	49679	0.065355
(1756593,1804928)(3100000,3149999)(3100000,3150000)	chr1	3125000	48337	0.125826
