region	chr	midPos	Nsites
(2,521)(75112,86057)(50000,100000)	chr1	75000	521	0.064968
(522,10969)(100849,148396)(100000,150000)	chr1	125000	10449	0.040856
(10970,28064)(152990,199999)(150000,200000)	chr1	175000	17096	0.071804
(28065,57943)(200000,249999)(200000,250000)	chr1	225000	29880	0.060343
(57944,87450)(250000,296818)(250000,300000)	chr1	275000	29508	0.055718
(87451,89304)(304278,342907)(300000,350000)	chr1	325000	1855	0.086453
(89305,91376)(357969,395840)(350000,400000)	chr1	375000	2073	0.057115
(91377,91679)(401205,422388)(400000,450000)	chr1	425000	304	0.031395
(91680,93856)(452240,499224)(450000,500000)	chr1	475000	2178	0.047152
(93857,100747)(500330,549026)(500000,550000)	chr1	525000	6892	0.095657
(100748,116513)(551907,599999)(550000,600000)	chr1	575000	15767	0.130088
(116514,133070)(600000,649845)(600000,650000)	chr1	625000	16558	0.147482
(133071,147954)(651369,699999)(650000,700000)	chr1	675000	14885	0.115631
(147955,154945)(700000,749901)(700000,750000)	chr1	725000	6992	0.071775
(154946,167621)(750640,799999)(750000,800000)	chr1	775000	12677	0.066985
(167622,175369)(800000,848657)(800000,850000)	chr1	825000	7749	0.147313
(175370,178969)(850385,899445)(850000,900000)	chr1	875000	3601	0.101090
(178970,181337)(900555,939049)(900000,950000)	chr1	925000	2369	0.116104
(181338,181895)(957341,997193)(950000,1000000)	chr1	975000	559	0.065518
(181896,185113)(1001662,1049591)(1000000,1050000)	chr1	1025000	3219	0.077667
(185114,186106)(1050194,1081725)(1050000,1100000)	chr1	1075000	994	0.125141
(186107,188007)(1103527,1148065)(1100000,1150000)	chr1	1125000	1902	0.085488
(188008,193224)(1151075,1199762)(1150000,1200000)	chr1	1175000	5218	0.105008
(193225,212362)(1201090,1249823)(1200000,1250000)	chr1	1225000	19139	0.046208
(212363,218548)(1251798,1291752)(1250000,1300000)	chr1	1275000	6187	0.051596
(218549,229157)(1300461,1348788)(1300000,1350000)	chr1	1325000	10610	0.049464
(229158,237085)(1351598,1398252)(1350000,1400000)	chr1	1375000	7929	0.050354
(237086,243563)(1400631,1449826)(1400000,1450000)	chr1	1425000	6479	0.082311
(243564,245076)(1450213,1499103)(1450000,1500000)	chr1	1475000	1514	0.118412
(245077,252901)(1501366,1543960)(1500000,1550000)	chr1	1525000	7826	0.068562
(252902,264612)(1550219,1599034)(1550000,1600000)	chr1	1575000	11712	0.060065
(264613,282036)(1602862,1649906)(1600000,1650000)	chr1	1625000	17425	0.046538
(282037,297051)(1650210,1699999)(1650000,1700000)	chr1	1675000	15016	0.059520
(297052,317427)(1700000,1748873)(1700000,1750000)	chr1	1725000	20377	0.083364
(317428,320649)(1750338,1798929)(1750000,1800000)	chr1	1775000	3223	0.113309
(320650,344983)(1804979,1849999)(1800000,1850000)	chr1	1825000	24335	0.058656
(344984,369651)(1850000,1886781)(1850000,1900000)	chr1	1875000	24669	0.067327
(369652,379104)(1902381,1949979)(1900000,1950000)	chr1	1925000	9454	0.083131
(379105,397959)(1950009,1998961)(1950000,2000000)	chr1	1975000	18856	0.096302
(397960,405543)(2000918,2049401)(2000000,2050000)	chr1	2025000	7585	0.084671
(405544,406371)(2051923,2087855)(2050000,2100000)	chr1	2075000	829	0.090123
(406372,412796)(2124324,2149910)(2100000,2150000)	chr1	2125000	6426	0.082795
(412797,432439)(2150214,2199999)(2150000,2200000)	chr1	2175000	19644	0.088168
(432440,451297)(2200000,2249999)(2200000,2250000)	chr1	2225000	18859	0.113076
(451298,488766)(2250000,2299464)(2250000,2300000)	chr1	2275000	37470	0.106395
(488767,527890)(2300719,2349999)(2300000,2350000)	chr1	2325000	39125	0.103219
(527891,567422)(2350000,2399999)(2350000,2400000)	chr1	2375000	39533	0.112902
(567423,594258)(2400000,2442085)(2400000,2450000)	chr1	2425000	26837	0.065546
(594259,609337)(2451376,2499997)(2450000,2500000)	chr1	2475000	15080	0.075814
(609338,634918)(2500008,2549999)(2500000,2550000)	chr1	2525000	25582	0.080548
(634919,658023)(2550000,2597554)(2550000,2600000)	chr1	2575000	23106	0.117007
(658024,668042)(2600926,2649999)(2600000,2650000)	chr1	2625000	10020	0.116649
(668043,685139)(2650000,2691563)(2650000,2700000)	chr1	2675000	17098	0.069554
(685140,699970)(2713650,2749999)(2700000,2750000)	chr1	2725000	14832	0.086673
(699971,736094)(2750001,2799991)(2750000,2800000)	chr1	2775000	36125	0.102931
